restaurant_name,id,attributes
T-Loc's Sonora Hot Dogs,puse310xumoKI0WMHNXnRA,"['Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Masks required']"
Veracruz All Natural,5OAi35OianJzCnIsL8aOFQ,"['Offers Delivery', 'Offers Takeout', 'Masks required', 'No Reservations']"
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,"['Masks required', 'Many Vegetarian Options', 'Accepts Credit Cards', 'No Reservations']"
Juan In A Million,bJbJyH6sZeltbBIbe32R8g,"['Heath Score: 90 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Tacodeli,-qjkQHH-5O8BAztc6udOuw,"['Heath Score: 87 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Eldorado Cafe,wQ8XK2NJAL2csx_LmZfz4g,"['Heath Score: 90 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Suerte,KIHoGUfCOLhBFQVSAN4QSg,"['Heath Score: 86 out of 100', 'Takes Reservations', 'Offers Takeout', 'No Delivery']"
Cabo Bob's Burritos,VV0Vx8HUXdZwuQ7dLBnyag,"['Heath Score: 86 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
Cabo Bob's Burritos,-Ce8p148xb0-4dv_3zwm3A,"['Heath Score: 93 out of 100', 'Offers Takeout', 'No Reservations', 'No Delivery']"
El Alma,acMhW2yiFCNU6PoGiHxvPQ,"['Heath Score: 85 out of 100', 'Takes Reservations', 'Offers Takeout', 'Vegan Options']"
Las Trancas,cYsillXIBTJzaxxC3-5wJg,"['Masks required', 'Staff wears masks', 'Many Vegetarian Options', 'No Reservations']"
Tacodeli,CgZfMVFv0ilEDZbH06apyA,"['Heath Score: 91 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Lazarus Brewing,C9QXRfi43sYP5lXkNGrM7A,"['Heath Score: 86 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
FoodHeads,eUD2rCO5pfus19UN34Cgzw,"['Heath Score: 87 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Fonda San Miguel,z4fQL2IHUR4ENonH7A_9tQ,"['Takes Reservations', 'Offers Takeout', 'Staff wears masks', 'No Delivery']"
Tacodeli,H1yyjI2UiWD78WKKYwdiSw,"['Heath Score: 90 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Chuy's,_V-VpV5AWREqop5b3hV8Hw,"['Heath Score: 82 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Torchy's Tacos,10dR2YozAl0Tiwt0FnBMng,"['Heath Score: 90 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Taco Joint,g6B2TZYS7JKKpNWPwVnwqw,"['Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Masks required']"
Pueblo Viejo,Qn375GaXRU_6OCcD2z_uSw,"['Heath Score: 86 out of 100', 'Offers Takeout', 'Masks required', 'No Reservations']"
Taco Joint,V8B1lqK7IXULiOe-zuIpMw,"['Heath Score: 85 out of 100', 'Offers Takeout', 'Vegan Options', 'No Reservations']"
Habanero Mexican Cafe,PBfFmFy8C0WOtpHF_frVWA,"['Heath Score: 92 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Torchy's Tacos,XjC5H-uKRrsctioXxuCMQQ,"['Heath Score: 84 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Papalote Taco House,omzxJo2aWruaJo_82xTfkA,"['Heath Score: 90 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Licha's Cantina,fAw1VGWzFWGUVQRWWUZLwQ,"['Heath Score: 82 out of 100', 'Offers Takeout', 'Masks required', 'No Reservations']"
Velvet Taco,gvpoFnaCq2J7TBXV7yFIkQ,"['Heath Score: 73 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
Bennu Coffee,gXip--EE80jF-sqdk5Aghw,"['Heath Score: 96 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
ATX Cocina,hpttZ0nryCCmV1hxwN3ZGg,"['Heath Score: 90 out of 100', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout']"
Hula Hut,aq0aE997rfi6NMTuTcoyNQ,"['Heath Score: 70 out of 100', 'Offers Delivery', 'Offers Takeout', 'No Reservations']"
