restaurant_name,number,review
El Taquito Aviles,1,So love this place.   We just moved into a neighborhood close by and frankly we ve been a bit nervous about our lack of spanish speaking skills. The hubs is Icelandic and my brain is filled with trying to speak  Scandinavian  fluently so spanish got the bum end of my attention.  Got to the trailer and it took someone a while to take my order. I got so nervous that I nearly turned around back to my car because I didn t really know much of what was on the menu save 3 basic taco dishes.   Just before I lost my nerve the friendliest man addressed me- first speaking spanish then realizing I didn t- spoke perfect english but continued to try and encourage teach me. He kept calling me mama and making me feel so welcome.   I ordered the Fajita and the Barbacoa taco. They are tiny. But 2 tacos at  3.50 is a deal in my book so next time I ll order 4 and call it a meal for the hubs and I.   The red salsa is awesome. Spicy and unique- slightly more light hot sauce but without the vinegar punch.   These gringos will be back 
El Taquito Aviles,2,I don t like to try to many places but this place is a must    Great food  Great attention from the gentleman working at the window    Definitely gonna be added to my list of go to places    The drinks and food are freshly made when ordered     
El Taquito Aviles,3,I ve eaten here a few times. The tacos are good. The tacos aren t big so get a few with some green sauce on the side. I also got the tortas once but I wasn t a big fan. Gorditas are ok. I would suggest bring cash. I ve never tried paying with card.   Pina agua naturales pineapple juice  is good too. Not out of this world good just good.  I usually show up here on a weeknight around 10 30pm. The owner s English wasn t like amazing but she knew enough to take my order.
El Taquito Aviles,4,I ve been by here 3-4 times  and the guy knows me by sight. Plus  he s coming to hear my band practice this weekend  and bringing beer.  LOVE it   So  this is a little taco cart  basically  at the Citgo station on the corner of Ohlen and Peyton Gin. Nice guy owns it  and the food is DAMN good   First time  breakfast tacos. Nopalitos and eggs. Potatoes and eggs.   Second time  Chicken Fajita Tacos with grilled onions.   Third time  I took some friends  we tried the Barbacoa  my friend ate like 5 tacos    and the Chivo  Lamb or Goat  I can t remember but it f-ing rocked  .  They offer red and green salsas. Red is hotter  but both are tasty.  Word to the wise  they ll likely speak to you in Spanish first. Once my Spanish ran out  they started speaking to me in more English. Hopefully  my spanish will get better  but this is  in my opinion  the way it should be at a place like this.  It s not enough to move me away from the pseudo veggie side of things  but I ll definitely be back.   Tonight  he asked me what was going on with the lack of business  so I figured I d check Yelp. No profile  so here you go Austin  Good taco   Oh  and on the other side of the parking lot is a place that makes FRESH Aguas Frescas. From scratch. The taco place makes them too  but I can t yet speak to their quality.
El Taquito Aviles,5,Best taco trailer service in Austin. Hands down.   I came over here during my break from work today and I m so happy that I did  The owner couldn t be nicer. I ordered 2 barbacoa tacos and he gave me one for free  They were delicious. He also made me some fresh pineapple juice which was amazing.   I couldn t eat all the tacos and when I asked for a bag he took them back and wrapped them up for me.   Excellent service and damn good tacos. What more could you want 
El Taquito Aviles,6,this review is a yr late. i came across this taco stand due to my sensitivity to smell   i was pregnant . my partner and i went to target right across the taco stand. let me tell you ever since that day i been hitting it up. they have remodeled and upgraded the trailer since then. they have great tortas  the bread is evenly toasted. on cold days they make champurrado  and its delicious. i had their menudo. my boyfriend loves their barbacoa tacos  and so does several of my friends that i have introduced to this place. the aguas frescas are ok  i would prefer Horchata since its a staple drink with tacos  but they do carry the goo ol  mexican coke and it make the taco experience better. the trailer may not be located in the greatest area  but the tacos are slammin.
Taco Bell,1,Stop by to get my lunch. The place was quiet  serving food so fast. Tasted is regular  it not real mexican food
Taco Bell,2,Something is going on with Taco Bell - the service is soooo slow and the quality is bad. Be prepared to wait 20 minimum for your food even if there s only 2 cars in front of you in the drive thru.
Taco Bell,3,It s freaking 1 pm and they have the lobby closed          This place is such a constant disappointment  
Taco Bell,4,Slow AF drive-thru  frequently randomly closes  order accuracy always a gamble. No longer willing to sit at the drive thru myself but Uber Eats driver always gets a fat tip for dealing with location s bs if I m content to wait at home and eat a warm-ish taco.
