restaurant_name,id,attributes
T-Loc's Sonora Hot Dogs,puse310xumoKI0WMHNXnRA,Takes Reservations
T-Loc's Sonora Hot Dogs,puse310xumoKI0WMHNXnRA,Offers Delivery
T-Loc's Sonora Hot Dogs,puse310xumoKI0WMHNXnRA,Offers Takeout
T-Loc's Sonora Hot Dogs,puse310xumoKI0WMHNXnRA,Masks required
Veracruz All Natural,5OAi35OianJzCnIsL8aOFQ,Offers Delivery
Veracruz All Natural,5OAi35OianJzCnIsL8aOFQ,Offers Takeout
Veracruz All Natural,5OAi35OianJzCnIsL8aOFQ,Masks required
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,Masks required
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,Many Vegetarian Options
Granny's Tacos,5fI9ZzqzRLnMNYoTMjUGGQ,Accepts Credit Cards
Juan In A Million,bJbJyH6sZeltbBIbe32R8g,Health Score
Juan In A Million,bJbJyH6sZeltbBIbe32R8g,Offers Delivery
Juan In A Million,bJbJyH6sZeltbBIbe32R8g,Offers Takeout
Tacodeli,-qjkQHH-5O8BAztc6udOuw,Health Score
Tacodeli,-qjkQHH-5O8BAztc6udOuw,Offers Delivery
Tacodeli,-qjkQHH-5O8BAztc6udOuw,Offers Takeout
Eldorado Cafe,wQ8XK2NJAL2csx_LmZfz4g,Health Score
Eldorado Cafe,wQ8XK2NJAL2csx_LmZfz4g,Takes Reservations
Eldorado Cafe,wQ8XK2NJAL2csx_LmZfz4g,Offers Delivery
Eldorado Cafe,wQ8XK2NJAL2csx_LmZfz4g,Offers Takeout
Suerte,KIHoGUfCOLhBFQVSAN4QSg,Health Score
Suerte,KIHoGUfCOLhBFQVSAN4QSg,Takes Reservations
Suerte,KIHoGUfCOLhBFQVSAN4QSg,Offers Takeout
Cabo Bob's Burritos,VV0Vx8HUXdZwuQ7dLBnyag,Health Score
Cabo Bob's Burritos,VV0Vx8HUXdZwuQ7dLBnyag,Offers Takeout
El Alma,acMhW2yiFCNU6PoGiHxvPQ,Health Score
El Alma,acMhW2yiFCNU6PoGiHxvPQ,Takes Reservations
El Alma,acMhW2yiFCNU6PoGiHxvPQ,Offers Takeout
El Alma,acMhW2yiFCNU6PoGiHxvPQ,Vegan Options
Las Trancas,cYsillXIBTJzaxxC3-5wJg,Masks required
Las Trancas,cYsillXIBTJzaxxC3-5wJg,Staff wears masks
Las Trancas,cYsillXIBTJzaxxC3-5wJg,Many Vegetarian Options
Lazarus Brewing,C9QXRfi43sYP5lXkNGrM7A,Health Score
Lazarus Brewing,C9QXRfi43sYP5lXkNGrM7A,Offers Delivery
Lazarus Brewing,C9QXRfi43sYP5lXkNGrM7A,Offers Takeout
FoodHeads,eUD2rCO5pfus19UN34Cgzw,Health Score
FoodHeads,eUD2rCO5pfus19UN34Cgzw,Offers Delivery
FoodHeads,eUD2rCO5pfus19UN34Cgzw,Offers Takeout
Fonda San Miguel,z4fQL2IHUR4ENonH7A_9tQ,Takes Reservations
Fonda San Miguel,z4fQL2IHUR4ENonH7A_9tQ,Offers Takeout
Fonda San Miguel,z4fQL2IHUR4ENonH7A_9tQ,Staff wears masks
Chuy's,_V-VpV5AWREqop5b3hV8Hw,Health Score
Chuy's,_V-VpV5AWREqop5b3hV8Hw,Offers Delivery
Chuy's,_V-VpV5AWREqop5b3hV8Hw,Offers Takeout
Pueblo Viejo,Qn375GaXRU_6OCcD2z_uSw,Health Score
Pueblo Viejo,Qn375GaXRU_6OCcD2z_uSw,Offers Takeout
Pueblo Viejo,Qn375GaXRU_6OCcD2z_uSw,Masks required
Taco Joint,V8B1lqK7IXULiOe-zuIpMw,Health Score
Taco Joint,V8B1lqK7IXULiOe-zuIpMw,Offers Takeout
Taco Joint,V8B1lqK7IXULiOe-zuIpMw,Vegan Options
Habanero Mexican Cafe,PBfFmFy8C0WOtpHF_frVWA,Health Score
Habanero Mexican Cafe,PBfFmFy8C0WOtpHF_frVWA,Offers Delivery
Habanero Mexican Cafe,PBfFmFy8C0WOtpHF_frVWA,Offers Takeout
Torchy's Tacos,XjC5H-uKRrsctioXxuCMQQ,Health Score
Torchy's Tacos,XjC5H-uKRrsctioXxuCMQQ,Offers Delivery
Torchy's Tacos,XjC5H-uKRrsctioXxuCMQQ,Staff wears masks
Papalote Taco House,omzxJo2aWruaJo_82xTfkA,Health Score
Papalote Taco House,omzxJo2aWruaJo_82xTfkA,Offers Delivery
Papalote Taco House,omzxJo2aWruaJo_82xTfkA,Offers Takeout
Licha's Cantina,fAw1VGWzFWGUVQRWWUZLwQ,Health Score
Licha's Cantina,fAw1VGWzFWGUVQRWWUZLwQ,Offers Takeout
Licha's Cantina,fAw1VGWzFWGUVQRWWUZLwQ,Masks required
Velvet Taco,gvpoFnaCq2J7TBXV7yFIkQ,Health Score
Velvet Taco,gvpoFnaCq2J7TBXV7yFIkQ,Offers Delivery
Velvet Taco,gvpoFnaCq2J7TBXV7yFIkQ,Offers Takeout
Bennu Coffee,gXip--EE80jF-sqdk5Aghw,Health Score
Bennu Coffee,gXip--EE80jF-sqdk5Aghw,Offers Delivery
Bennu Coffee,gXip--EE80jF-sqdk5Aghw,Offers Takeout
ATX Cocina,hpttZ0nryCCmV1hxwN3ZGg,Health Score
ATX Cocina,hpttZ0nryCCmV1hxwN3ZGg,Takes Reservations
ATX Cocina,hpttZ0nryCCmV1hxwN3ZGg,Offers Delivery
ATX Cocina,hpttZ0nryCCmV1hxwN3ZGg,Offers Takeout
Hula Hut,aq0aE997rfi6NMTuTcoyNQ,Health Score
Hula Hut,aq0aE997rfi6NMTuTcoyNQ,Offers Delivery
Hula Hut,aq0aE997rfi6NMTuTcoyNQ,Offers Takeout
Radio Coffee & Beer,VLh3Hn6FSaqDr5WXFge6Eg,Health Score
Radio Coffee & Beer,VLh3Hn6FSaqDr5WXFge6Eg,Offers Takeout
Tyson's Tacos,jUiS3w1HX6qhEzNduA3oVw,Health Score
Tyson's Tacos,jUiS3w1HX6qhEzNduA3oVw,Offers Delivery
Tyson's Tacos,jUiS3w1HX6qhEzNduA3oVw,Offers Takeout
Donut 7,emGEJND3abhpSw554D4xaw,Health Score
Donut 7,emGEJND3abhpSw554D4xaw,Offers Delivery
Donut 7,emGEJND3abhpSw554D4xaw,Accepts Credit Cards
Paco's Tacos,xFhkWmQZA2RRBiLv0Y_mRA,Health Score
Paco's Tacos,xFhkWmQZA2RRBiLv0Y_mRA,Offers Delivery
Paco's Tacos,xFhkWmQZA2RRBiLv0Y_mRA,Offers Takeout
El Primo,4CApB_GqrraGweVr1FZtfQ,Offers Takeout
El Primo,4CApB_GqrraGweVr1FZtfQ,Staff wears masks
El Primo,4CApB_GqrraGweVr1FZtfQ,Many Vegetarian Options
La Condesa,IhsJHBMamH3wrjOdZSYu5g,Health Score
La Condesa,IhsJHBMamH3wrjOdZSYu5g,Takes Reservations
Azul Tequila,6IeiU0e8EhxO-MnVdkuUeg,Health Score
Azul Tequila,6IeiU0e8EhxO-MnVdkuUeg,Takes Reservations
Azul Tequila,6IeiU0e8EhxO-MnVdkuUeg,Offers Delivery
Azul Tequila,6IeiU0e8EhxO-MnVdkuUeg,Offers Takeout
Rosita's al Pastor,tHv6_4DKOV8sZnlvTrCN9Q,Health Score
Rosita's al Pastor,tHv6_4DKOV8sZnlvTrCN9Q,Offers Takeout
Gabriela's Downtown,#NAME?,Health Score
Gabriela's Downtown,#NAME?,Offers Takeout
Mi Tradición,5AJevayxjC9a8poECTCCWg,Offers Delivery
Mi Tradición,5AJevayxjC9a8poECTCCWg,Offers Takeout
Mi Tradición,5AJevayxjC9a8poECTCCWg,Masks required
Curra's Grill,#NAME?,Health Score
Curra's Grill,#NAME?,Offers Delivery
Curra's Grill,#NAME?,Offers Takeout
Comedor,TSKMu1M0HAFoPvCZuJxx1w,Health Score
Comedor,TSKMu1M0HAFoPvCZuJxx1w,Takes Reservations
Comedor,TSKMu1M0HAFoPvCZuJxx1w,Staff wears masks
Comedor,TSKMu1M0HAFoPvCZuJxx1w,Pescatarian Options
La Cocina de Consuelo,1mgAhLHRWJjJkJ2GbwrWUA,Health Score
La Cocina de Consuelo,1mgAhLHRWJjJkJ2GbwrWUA,Offers Takeout
Torchy's Tacos,bwuSbB0PyXHDHHj6PA_QiQ,Health Score
Torchy's Tacos,bwuSbB0PyXHDHHj6PA_QiQ,Offers Delivery
Torchy's Tacos,bwuSbB0PyXHDHHj6PA_QiQ,Offers Takeout
Z'Tejas - Austin 6 STREET,pp73b2zGEwRbwSgYYvB2Dg,Health Score
Z'Tejas - Austin 6 STREET,pp73b2zGEwRbwSgYYvB2Dg,Takes Reservations
Z'Tejas - Austin 6 STREET,pp73b2zGEwRbwSgYYvB2Dg,Offers Delivery
Z'Tejas - Austin 6 STREET,pp73b2zGEwRbwSgYYvB2Dg,Offers Takeout
Cuantos Tacos,IHVluPs_KKEIqX2UUFQDYg,Offers Delivery
Cuantos Tacos,IHVluPs_KKEIqX2UUFQDYg,Offers Takeout
Cuantos Tacos,IHVluPs_KKEIqX2UUFQDYg,Accepts Credit Cards
Cuantos Tacos,IHVluPs_KKEIqX2UUFQDYg,Outdoor Seating
Taco More,i-uz0Hv4kttlmb15iJRvNg,Health Score
Taco More,i-uz0Hv4kttlmb15iJRvNg,Offers Delivery
Taco More,i-uz0Hv4kttlmb15iJRvNg,Offers Takeout
Torchy's Tacos,KJKGptN6mhZarT2SNGI1Kw,Health Score
Torchy's Tacos,KJKGptN6mhZarT2SNGI1Kw,Offers Delivery
