,cleaan_entity_name,restaurant_name,entity_sentiment_score
56,tortilla,Veracruz All Natural,0.4999999995617306
52,tortilla,Nissi VegMex Vegan Mexican Cuisine,0.4399999976158142
55,tortilla,Taquero Mucho,0.1592592610805123
49,tortilla,Austin Taco Project,0.13750000088475645
50,tortilla,El Taquito,0.10777777607242266
54,tortilla,Taco Pegaso,0.0333333412806193
53,tortilla,Pepe’s Tacos,0.02857143219028197
51,tortilla,Hecho En Mexico,0.007692306517408449
44,taco,Nissi VegMex Vegan Mexican Cuisine,0.48545454361222007
48,taco,Veracruz All Natural,0.40287081362528093
42,taco,El Taquito,0.32601744131466676
45,taco,Pepe’s Tacos,0.29999999908937347
41,taco,Austin Taco Project,0.2645418326337024
46,taco,Taco Pegaso,0.2611111133462853
43,taco,Hecho En Mexico,0.22763157930029065
47,taco,Taquero Mucho,0.18242424306544391
40,steak,Veracruz All Natural,0.4909090921282768
36,steak,El Taquito,0.34000000208616254
39,steak,Taquero Mucho,0.23333332625528178
37,steak,Hecho En Mexico,0.21052631657374532
35,steak,Austin Taco Project,0.20000000018626451
38,steak,Nissi VegMex Vegan Mexican Cuisine,0.0
34,shrimp,Taquero Mucho,0.24999999739229678
32,shrimp,Austin Taco Project,0.1826086941620578
33,shrimp,Hecho En Mexico,0.14583333022892475
31,quesadilla,Veracruz All Natural,0.8999999761581421
29,quesadilla,Taco Pegaso,0.6000000089406967
26,quesadilla,El Taquito,0.32631578845413106
28,quesadilla,Pepe’s Tacos,0.257142858845847
27,quesadilla,Hecho En Mexico,0.1066666677594185
25,quesadilla,Austin Taco Project,0.06000000387430191
30,quesadilla,Taquero Mucho,-0.1000000014901161
24,fish,Veracruz All Natural,0.5238095202616283
22,fish,Austin Taco Project,0.2969696971051621
23,fish,Hecho En Mexico,0.18275861878847255
21,fajita,Veracruz All Natural,0.7799999952316284
19,fajita,Nissi VegMex Vegan Mexican Cuisine,0.41428571407284054
17,fajita,El Taquito,0.24153846169893559
20,fajita,Taquero Mucho,0.20000000298023224
18,fajita,Hecho En Mexico,0.17037037125340215
15,enchilada,Hecho En Mexico,0.2562500022468157
16,enchilada,Taquero Mucho,0.18999999687075614
14,enchilada,El Taquito,0.13888888909584945
10,chicken,Nissi VegMex Vegan Mexican Cuisine,0.5666666626930237
13,chicken,Veracruz All Natural,0.4199999928474426
11,chicken,Taco Pegaso,0.4000000059604645
7,chicken,Austin Taco Project,0.20930232852697372
9,chicken,Hecho En Mexico,0.16249999817874697
8,chicken,El Taquito,0.09310344401104696
12,chicken,Taquero Mucho,0.03225806331442249
6,burrito,Taquero Mucho,0.699999988079071
3,burrito,Nissi VegMex Vegan Mexican Cuisine,0.5500000039381641
0,burrito,Austin Taco Project,0.43333332737286884
5,burrito,Taco Pegaso,0.12500000186264515
1,burrito,El Taquito,0.10000000894069672
2,burrito,Hecho En Mexico,0.100000003973643
4,burrito,Pepe’s Tacos,0.0
66,tortilla,Tierra Linda Taqueria,0.4782608708609705
63,tortilla,Lupe Tortilla,0.3171568610066292
67,tortilla,Veracruz All Natural,0.31525423529289537
64,tortilla,Pepe’s Tacos,0.2833333319673936
60,tortilla,Baby Acapulco,0.1870967724150227
65,tortilla,Taco-Mex,0.14358974362795168
61,tortilla,El Chile Café Y Cantina,0.1300000037997961
62,tortilla,Ken's Subs Tacos & More,0.10256410046265675
58,taco,Tierra Linda Taqueria,0.4512195120134005
56,taco,Pepe’s Tacos,0.38313953465847084
51,taco,Baby Acapulco,0.3549999980876843
53,taco,Ken's Subs Tacos & More,0.3264765783598127
59,taco,Veracruz All Natural,0.32595281344846894
57,taco,Taco-Mex,0.29322033954815846
55,taco,Lupe Tortilla,0.2303030305739605
52,taco,El Chile Café Y Cantina,0.1718749979045242
54,taco,Las Abuelas,-0.07499999925494194
49,steak,Tierra Linda Taqueria,0.6000000238418579
46,steak,Ken's Subs Tacos & More,0.5692307705489489
48,steak,Taco-Mex,0.44999999552965164
50,steak,Veracruz All Natural,0.44090909002856776
47,steak,Lupe Tortilla,0.3816666637857755
45,steak,El Chile Café Y Cantina,0.3166666701436043
44,steak,Baby Acapulco,0.1000000014901161
42,shrimp,Taco-Mex,0.6000000238418579
43,shrimp,Veracruz All Natural,0.4249999990686774
40,shrimp,El Chile Café Y Cantina,0.2916666691501935
41,shrimp,Lupe Tortilla,0.2152777761220932
39,shrimp,Baby Acapulco,0.01538462191820143
32,quesadilla,Baby Acapulco,0.712499987334013
38,quesadilla,Veracruz All Natural,0.533333328862985
36,quesadilla,Taco-Mex,0.5000000074505806
35,quesadilla,Pepe’s Tacos,0.42727272652766923
33,quesadilla,El Chile Café Y Cantina,0.24444444311989677
37,quesadilla,Tierra Linda Taqueria,0.2000000029802322
34,quesadilla,Lupe Tortilla,0.1599999986588955
