,cleaan_entity_name,restaurant_name,entity_sentiment_score
53,tortilla,Rosita's al Pastor,0.38484848719654663
50,tortilla,El Primo,0.3311111079321967
48,tortilla,Azul Tequila,0.29687500023283064
52,tortilla,Paco's Tacos,0.2826446281238036
49,tortilla,Donut 7,0.2545454563065009
51,tortilla,La Condesa,0.06176470621835952
54,tortilla,Tyson's Tacos,-0.016216218874261185
42,taco,Donut 7,0.4405498277792816
46,taco,Rosita's al Pastor,0.3497076021038998
43,taco,El Primo,0.3479238748421512
45,taco,Paco's Tacos,0.3175230568007361
47,taco,Tyson's Tacos,0.2380952388048172
44,taco,La Condesa,0.21564625857435926
41,taco,Azul Tequila,0.1222222244573964
37,steak,El Primo,0.30000001192092896
36,steak,Donut 7,0.30000000074505806
39,steak,Paco's Tacos,0.17000000104308127
40,steak,Tyson's Tacos,0.13333333904544512
35,steak,Azul Tequila,0.10000000149011612
38,steak,La Condesa,0.010256407352594228
32,shrimp,La Condesa,0.40000000392848795
33,shrimp,Paco's Tacos,0.34848484803329816
31,shrimp,Azul Tequila,0.17692307440134195
34,shrimp,Tyson's Tacos,0.17499999391535917
30,quesadilla,Rosita's al Pastor,0.47999998927116394
27,quesadilla,El Primo,0.3500000052154064
29,quesadilla,Paco's Tacos,0.31428570992180277
26,quesadilla,Azul Tequila,0.30000000447034836
28,quesadilla,La Condesa,0.06000000052154064
22,fish,La Condesa,0.33571428193577696
21,fish,Azul Tequila,0.22666666557391485
25,fish,Tyson's Tacos,0.1999999995936047
23,fish,Paco's Tacos,0.180000002682209
24,fish,Rosita's al Pastor,0.04285714136702674
16,fajita,Donut 7,0.42307692479628783
18,fajita,Paco's Tacos,0.33076923397871166
19,fajita,Rosita's al Pastor,0.1916666670391957
15,fajita,Azul Tequila,0.06842105129831716
20,fajita,Tyson's Tacos,0.0
17,fajita,La Condesa,-0.06666667014360428
11,enchilada,Azul Tequila,0.24999999779242058
14,enchilada,Paco's Tacos,0.2000000045767852
12,enchilada,El Primo,0.0
13,enchilada,La Condesa,-0.20000000298023224
4,chicken,Azul Tequila,0.30000000103161883
6,chicken,El Primo,0.23076923076923078
8,chicken,Paco's Tacos,0.12272727489471436
7,chicken,La Condesa,0.09305555559694767
10,chicken,Tyson's Tacos,0.022222219241989985
5,chicken,Donut 7,-0.10000000149011612
9,chicken,Rosita's al Pastor,-0.17499999981373549
1,burrito,El Primo,0.3727272716774182
3,burrito,Rosita's al Pastor,0.333333329608043
2,burrito,Paco's Tacos,0.28125000139698386
0,burrito,Azul Tequila,-0.10000000149011612
46,tortilla,La Cocina de Consuelo,0.5217391249278317
45,tortilla,Gabriela's Downtown,0.38437499897554517
47,tortilla,Mi Tradición,0.34098360919561543
48,tortilla,Rosita's al Pastor,0.32916666749709594
43,tortilla,Comedor,0.2518518527072889
44,tortilla,Curra's Grill,0.15531914871423802
37,taco,Comedor,0.3572222209225098
41,taco,Mi Tradición,0.32813852906098095
42,taco,Rosita's al Pastor,0.3099009898060451
39,taco,Gabriela's Downtown,0.2797297307264966
40,taco,La Cocina de Consuelo,0.21538461228975883
38,taco,Curra's Grill,0.20973451224576056
34,steak,Gabriela's Downtown,0.3071428579943521
35,steak,Mi Tradición,0.23199999779462815
36,steak,Rosita's al Pastor,0.20000000298023224
32,steak,Comedor,0.12142857110926084
33,steak,Curra's Grill,0.020000003278255463
30,shrimp,Gabriela's Downtown,0.3499999940395355
29,shrimp,Curra's Grill,0.31111111491918564
28,shrimp,Comedor,0.29090909456664865
31,shrimp,Rosita's al Pastor,-0.30000001192092896
23,quesadilla,Comedor,0.23508772123278232
26,quesadilla,Mi Tradición,0.22452830157752307
27,quesadilla,Rosita's al Pastor,0.21249998733401299
25,quesadilla,Gabriela's Downtown,0.125
24,quesadilla,Curra's Grill,0.0
20,fish,Comedor,0.23695652267855147
21,fish,Curra's Grill,0.12564102694010124
22,fish,Gabriela's Downtown,0.0
19,fajita,Rosita's al Pastor,0.22666666333874066
17,fajita,Curra's Grill,0.0954545411196622
18,fajita,Gabriela's Downtown,-0.06666665772596995
11,enchilada,Comedor,0.5333333313465118
15,enchilada,Mi Tradición,0.4999999888241291
14,enchilada,La Cocina de Consuelo,0.46250000037252903
13,enchilada,Gabriela's Downtown,0.39599999934434893
12,enchilada,Curra's Grill,0.27903225663448533
16,enchilada,Rosita's al Pastor,0.19166666766007742
8,chicken,La Cocina de Consuelo,0.4400000050663948
7,chicken,Gabriela's Downtown,0.36000000052154063
9,chicken,Mi Tradición,0.3074074086767656
5,chicken,Comedor,0.08571428539497512
10,chicken,Rosita's al Pastor,0.08499999791383743
6,chicken,Curra's Grill,0.06428571400188264
2,burrito,La Cocina de Consuelo,0.5583333310981592
1,burrito,Curra's Grill,0.1733333354194959
3,burrito,Mi Tradición,0.0
0,burrito,Comedor,-0.10000000149011612
4,burrito,Rosita's al Pastor,-0.10000000521540642
34,tortilla,Cuantos Tacos,0.5846153820554415
35,tortilla,La Cocina de Consuelo,0.4688073377885403
36,tortilla,Taco More,0.18840579785730527
37,tortilla,Torchy's Tacos,0.15142856921468462
38,tortilla,Z'Tejas - Austin 6 STREET,0.11052631645610458
29,taco,Cuantos Tacos,0.40858725817497416
30,taco,La Cocina de Consuelo,0.336666666633553
32,taco,Torchy's Tacos,0.29907529635780555
31,taco,Taco More,0.2879310338918505
33,taco,Z'Tejas - Austin 6 STREET,0.2765957427785752
27,steak,Torchy's Tacos,0.44999999180436134
28,steak,Z'Tejas - Austin 6 STREET,0.25833333614799714
26,steak,Taco More,0.194444446100129
25,steak,La Cocina de Consuelo,0.07500000111758709
24,shrimp,Z'Tejas - Austin 6 STREET,0.35135134812947866
23,shrimp,Torchy's Tacos,0.3459459448585639
22,shrimp,Taco More,0.32142857036420275
21,quesadilla,Z'Tejas - Austin 6 STREET,0.5153846196257151
19,quesadilla,Taco More,0.3157894752527538
17,quesadilla,Cuantos Tacos,0.3142857175497782
18,quesadilla,La Cocina de Consuelo,0.03333333548572329
20,quesadilla,Torchy's Tacos,-0.25
15,fish,Torchy's Tacos,0.46666666203074986
16,fish,Z'Tejas - Austin 6 STREET,0.30909090827811847
14,fish,Taco More,0.03333332637945811
10,fajita,La Cocina de Consuelo,0.3187499977648258
11,fajita,Taco More,0.23214285953768662
13,fajita,Z'Tejas - Austin 6 STREET,0.1821428598569972
12,fajita,Torchy's Tacos,0.10333333536982536
7,enchilada,La Cocina de Consuelo,0.38541666356225807
9,enchilada,Z'Tejas - Austin 6 STREET,0.2550000001490116
8,enchilada,Taco More,-0.033333333830038704
3,chicken,La Cocina de Consuelo,0.3315789462312272
6,chicken,Z'Tejas - Austin 6 STREET,0.240243902021065
4,chicken,Taco More,0.20930233008639756
5,chicken,Torchy's Tacos,0.10571428877966745
0,burrito,La Cocina de Consuelo,0.31790123397001513
2,burrito,Z'Tejas - Austin 6 STREET,0.14285714285714285
1,burrito,Torchy's Tacos,0.13749999925494194
62,tortilla,Taco More,0.4999999888241291
60,tortilla,La Tunita 512,0.45454545149748976
63,tortilla,Tacos Guerrero,0.44545454554485553
61,tortilla,Nixta Taqueria,0.42083333453370464
58,tortilla,Con Madre Kitchen,0.3803921542769554
65,tortilla,Vaquero Taquero,0.37815125956505286
57,tortilla,Burrito Factory,0.33076923799056274
59,tortilla,Güero's Taco Bar,0.25357142756027834
64,tortilla,Torchy's Tacos,0.1467741946539571
53,taco,Taco More,0.5119047615499723
54,taco,Tacos Guerrero,0.41010452877042186
51,taco,La Tunita 512,0.38338870216049625
56,taco,Vaquero Taquero,0.3650485429261784
52,taco,Nixta Taqueria,0.36480582556099567
49,taco,Con Madre Kitchen,0.3435897429147337
48,taco,Burrito Factory,0.3240000022947788
55,taco,Torchy's Tacos,0.29700239764736425
50,taco,Güero's Taco Bar,0.2402985074849271
44,steak,Taco More,0.8999999761581421
41,steak,Con Madre Kitchen,0.5124999899417162
42,steak,Güero's Taco Bar,0.47142856887408663
45,steak,Tacos Guerrero,0.4000000059604645
40,steak,Burrito Factory,0.35714286140033175
47,steak,Vaquero Taquero,0.32142857515386175
43,steak,Nixta Taqueria,0.0
46,steak,Torchy's Tacos,-0.15000000596046448
39,shrimp,Torchy's Tacos,0.38478260503514955
38,shrimp,Nixta Taqueria,0.3250000048428774
37,shrimp,Güero's Taco Bar,0.2272727293047038
36,shrimp,Con Madre Kitchen,0.20000000670552254
29,quesadilla,Burrito Factory,0.4000000059604645
32,quesadilla,La Tunita 512,0.35000000707805157
35,quesadilla,Vaquero Taquero,0.3392857134874378
30,quesadilla,Con Madre Kitchen,0.23333333184321722
33,quesadilla,Nixta Taqueria,0.1666666633552975
34,quesadilla,Torchy's Tacos,-0.05000000074505806
31,quesadilla,Güero's Taco Bar,-0.125
27,fish,Torchy's Tacos,0.24444444643126595
28,fish,Vaquero Taquero,0.10000000149011612
26,fish,Nixta Taqueria,0.09999998845160007
25,fish,Güero's Taco Bar,0.038888888640536204
19,fajita,Burrito Factory,0.4666666587193807
24,fajita,Torchy's Tacos,0.33428571224212644
23,fajita,Tacos Guerrero,0.2999999992549419
20,fajita,Con Madre Kitchen,0.11764705794699051
21,fajita,Güero's Taco Bar,0.01666666070620219
22,fajita,Taco More,-0.20000000298023224
14,enchilada,Burrito Factory,0.699999988079071
16,enchilada,Güero's Taco Bar,0.2652173929888269
15,enchilada,Con Madre Kitchen,0.2599999994039536
18,enchilada,Nixta Taqueria,0.18333333440952831
17,enchilada,La Tunita 512,-0.10000000149011612
9,chicken,La Tunita 512,0.5
10,chicken,Nixta Taqueria,0.4250000063329935
13,chicken,Vaquero Taquero,0.3391304359487865
7,chicken,Con Madre Kitchen,0.19375000055879354
6,chicken,Burrito Factory,0.16000000461935998
8,chicken,Güero's Taco Bar,0.14999999962747096
11,chicken,Tacos Guerrero,0.11250000167638063
12,chicken,Torchy's Tacos,0.09830508595806058
3,burrito,La Tunita 512,0.8999999761581421
4,burrito,Tacos Guerrero,0.8999999761581421
0,burrito,Burrito Factory,0.4351145060917803
1,burrito,Con Madre Kitchen,0.3525925909479459
5,burrito,Torchy's Tacos,0.16470588393071117
2,burrito,Güero's Taco Bar,0.15
41,tortilla,Joe's Bakery & Coffee Shop,0.41812080554914155
39,tortilla,Güero's Taco Bar,0.39310344719681245
43,tortilla,Taco Flats,0.30414201125238066
42,tortilla,Polvos South,0.27745097897508564
40,tortilla,Iron Cactus Mexican Restaurant and Margarita Bar,0.13157894952516808
35,taco,Iron Cactus Mexican Restaurant and Margarita Bar,0.3190476200765088
