id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
puse310xumoKI0WMHNXnRA,t-locs-sonora-hot-dogs-austin-4,T-Loc's Sonora Hot Dogs,https://s3-media2.fl.yelpcdn.com/bphoto/HHyTr44O1_Xp8sYuTpKU8g/o.jpg,False,https://www.yelp.com/biz/t-locs-sonora-hot-dogs-austin-4?adjust_creative=oapS1_QZo4-Es35G1UKw_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oapS1_QZo4-Es35G1UKw_g,510,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}]",5.0,"{'latitude': 30.32118, 'longitude': -97.7395}","['pickup', 'delivery']",$,"{'address1': '5000 Burnet Rd', 'address2': None, 'address3': '', 'city': 'Austin', 'zip_code': '78756', 'country': 'US', 'state': 'TX', 'display_address': ['5000 Burnet Rd', 'Austin, TX 78756']}",+15129948982,(512) 994-8982,2493.351161302182
5OAi35OianJzCnIsL8aOFQ,veracruz-all-natural-austin-6,Veracruz All Natural,https://s3-media1.fl.yelpcdn.com/bphoto/__s9xbI6Soens1vnTFX4pw/o.jpg,False,https://www.yelp.com/biz/veracruz-all-natural-austin-6?adjust_creative=oapS1_QZo4-Es35G1UKw_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oapS1_QZo4-Es35G1UKw_g,1014,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 30.263074671462796, 'longitude': -97.7137147141985}",['delivery'],$,"{'address1': '2505 Webberville Rd', 'address2': None, 'address3': '', 'city': 'Austin', 'zip_code': '78702', 'country': 'US', 'state': 'TX', 'display_address': ['2505 Webberville Rd', 'Austin, TX 78702']}",+15129811760,(512) 981-1760,6304.790524557592
5fI9ZzqzRLnMNYoTMjUGGQ,grannys-tacos-austin,Granny's Tacos,https://s3-media2.fl.yelpcdn.com/bphoto/Y5hwoJvM2tLAK9BXb_mcPA/o.jpg,False,https://www.yelp.com/biz/grannys-tacos-austin?adjust_creative=oapS1_QZo4-Es35G1UKw_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oapS1_QZo4-Es35G1UKw_g,499,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",5.0,"{'latitude': 30.264366833319514, 'longitude': -97.72800188890876}","['pickup', 'delivery']",$,"{'address1': '1401 E 7th St', 'address2': None, 'address3': None, 'city': 'Austin', 'zip_code': '78702', 'country': 'US', 'state': 'TX', 'display_address': ['1401 E 7th St', 'Austin, TX 78702']}",+15127014000,(512) 701-4000,5358.604678218958
bJbJyH6sZeltbBIbe32R8g,juan-in-a-million-austin-2,Juan In A Million,https://s3-media3.fl.yelpcdn.com/bphoto/Tqn1Tm10FtylnkD4_28Xpw/o.jpg,False,https://www.yelp.com/biz/juan-in-a-million-austin-2?adjust_creative=oapS1_QZo4-Es35G1UKw_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oapS1_QZo4-Es35G1UKw_g,2134,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",4.0,"{'latitude': 30.2552660599625, 'longitude': -97.7190592909029}",['delivery'],$$,"{'address1': '2300 E Cesar Chavez St', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78702', 'country': 'US', 'state': 'TX', 'display_address': ['2300 E Cesar Chavez St', 'Austin, TX 78702']}",+15124723872,(512) 472-3872,6675.145214991951
-qjkQHH-5O8BAztc6udOuw,tacodeli-austin-3,Tacodeli,https://s3-media1.fl.yelpcdn.com/bphoto/gq2-uWo3_gFMWAAViGBIRw/o.jpg,False,https://www.yelp.com/biz/tacodeli-austin-3?adjust_creative=oapS1_QZo4-Es35G1UKw_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oapS1_QZo4-Es35G1UKw_g,1121,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}]",4.5,"{'latitude': 30.25842781318233, 'longitude': -97.78767949472194}",['delivery'],$,"{'address1': '1500 Spyglass Dr', 'address2': 'Ste B', 'address3': '', 'city': 'Austin', 'zip_code': '78746', 'country': 'US', 'state': 'TX', 'display_address': ['1500 Spyglass Dr', 'Ste B', 'Austin, TX 78746']}",+15127320303,(512) 732-0303,5939.150898532916
wQ8XK2NJAL2csx_LmZfz4g,eldorado-cafe-austin-2,Eldorado Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/waCbH7lyeQaf3CKFCbT5QA/o.jpg,False,https://www.yelp.com/biz/eldorado-cafe-austin-2?adjust_creative=oapS1_QZo4-Es35G1UKw_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oapS1_QZo4-Es35G1UKw_g,719,"[{'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,"{'latitude': 30.362224, 'longitude': -97.7423571527181}",['delivery'],$$,"{'address1': '3300 W Anderson Ln', 'address2': '', 'address3': None, 'city': 'Austin', 'zip_code': '78757', 'country': 'US', 'state': 'TX', 'display_address': ['3300 W Anderson Ln', 'Austin, TX 78757']}",+15124202222,(512) 420-2222,6514.6876796806555
KIHoGUfCOLhBFQVSAN4QSg,suerte-austin,Suerte,https://s3-media3.fl.yelpcdn.com/bphoto/XYeGY-y-qPXERxG4RKU1lw/o.jpg,False,https://www.yelp.com/biz/suerte-austin?adjust_creative=oapS1_QZo4-Es35G1UKw_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oapS1_QZo4-Es35G1UKw_g,832,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 30.26228, 'longitude': -97.72331}",['delivery'],$$$,"{'address1': '1800 E 6th St', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78702', 'country': 'US', 'state': 'TX', 'display_address': ['1800 E 6th St', 'Austin, TX 78702']}",+15129530092,(512) 953-0092,5808.930679995454
VV0Vx8HUXdZwuQ7dLBnyag,cabo-bobs-burritos-austin,Cabo Bob's Burritos,https://s3-media3.fl.yelpcdn.com/bphoto/RMFh_m8xJ_iO1W1JMQrhMA/o.jpg,False,https://www.yelp.com/biz/cabo-bobs-burritos-austin?adjust_creative=oapS1_QZo4-Es35G1UKw_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oapS1_QZo4-Es35G1UKw_g,908,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 30.2209809152295, 'longitude': -97.756928435967}","['pickup', 'delivery']",$,"{'address1': '500 E Ben White Blvd', 'address2': 'Ste D100', 'address3': '', 'city': 'Austin', 'zip_code': '78704', 'country': 'US', 'state': 'TX', 'display_address': ['500 E Ben White Blvd', 'Ste D100', 'Austin, TX 78704']}",+15124321111,(512) 432-1111,9360.176601061523
-Ce8p148xb0-4dv_3zwm3A,cabo-bobs-burritos-austin-2,Cabo Bob's Burritos,https://s3-media4.fl.yelpcdn.com/bphoto/3ozWv7yYgawEuBjFIxLjAw/o.jpg,False,https://www.yelp.com/biz/cabo-bobs-burritos-austin-2?adjust_creative=oapS1_QZo4-Es35G1UKw_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oapS1_QZo4-Es35G1UKw_g,485,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 30.295789, 'longitude': -97.7442669}",['delivery'],$,"{'address1': '2828 Rio Grande St', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78705', 'country': 'US', 'state': 'TX', 'display_address': ['2828 Rio Grande St', 'Austin, TX 78705']}",+15124321112,(512) 432-1112,1659.3028856577628
acMhW2yiFCNU6PoGiHxvPQ,el-alma-austin-2,El Alma,https://s3-media4.fl.yelpcdn.com/bphoto/uQqWpLnwOdQwtBvJe26pmA/o.jpg,False,https://www.yelp.com/biz/el-alma-austin-2?adjust_creative=oapS1_QZo4-Es35G1UKw_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oapS1_QZo4-Es35G1UKw_g,1115,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"{'latitude': 30.2601, 'longitude': -97.75562}",['delivery'],$$,"{'address1': '1025 Barton Springs Rd', 'address2': '', 'address3': '', 'city': 'Austin', 'zip_code': '78704', 'country': 'US', 'state': 'TX', 'display_address': ['1025 Barton Springs Rd', 'Austin, TX 78704']}",+15126098923,(512) 609-8923,5022.612835905515
