number,review
1,"I came here with family that was visiting in town and we really enjoyed this spot! There was a decent amount of indoor seating, so we didn't have to roast on the porch (though it looked like the shade and fan placements out there would have been adequate). The food was quite good! My chicken enchiladas were moist throughout and I enjoyed the green sauce. I especially enjoyed the chips and salsa while we waited for our food, and our server was kind enough to offer us complementary Sopaipillas after our meal.<br/><br/>Surprisingly there's a lot of very mediocre Tex-Mex to be found in Austin, so when you find a place with some quality you remember it. I'll be back!"
2,"Reviewing from perspective as a W from Santa Ana, California where we have Mexican food possibly more authentic than San Antonio's south side? (see other reviewer)<br/>Vamonos is certainly above average Mexican food. Their Margarita is very nice and the guacamole is slightly chunky while still smooth and very tasty. The Chicken Adobo was excellent.<br/>On a Saturday evening there were mostly caucasians dining, but no one was talking about the National Review. I doubt anyone there that night would even know what it is. There was a Hispanic couple and a mixed couple, but does that even matter? It's a satisfying restaurant and I recommend you try it for yourself."
3,"I used to come here a lot last year and the customer service was much better. <br/><br/>I'm writing this review NOW because I just sat outside on the patio (with a dog) for almost 30 minutes before anyone came to take my order. And it wasn't a server who finally saw me.<br/><br/>The food has always been just okay. I come for the margaritas and location. It's a nice, little dog friendly spot."
4,"I'll leave two reviews; one from the perspective of those who leave this place 4/5 stars and one from me, a Chicano from the Southside of San Antonio.<br/><br/>Im other words, I'll review Vamonos from my perspective (M) and ""Let's Gooooo"" from the typical reviewer for this place (W) in a short two person play. M- &amp; W- denotes who's speaking. <br/><br/>*******<br/><br/>M- As soon as you walk in to the place, I could kind of tell it wasn't for me. The bustling chatter of chisme and the excited clinks of beers were gone, replaced by conversations re: stock prices and some article that came out on National Review. The place itself is well laid out and actually thoughtful, with an indoor and outdoor seating area; a partition divides the dining area from the bar which gives a great separation. <br/><br/>W- *puts hair into a man bun* So we pulled up and there was old timey music from Mexico or something, so already you know this place is legit. The place is so cool, you can sit inside or outside. The bar has all my favorite tequilas which is rad man. We sat down and they brought out these chips and a kicking salsa that was FUEGO for sure. It was spicy brochacho, some fire salsa. I thought I was gonna burn my tongue, lol, sick man. It was YOLO for me so I asked for something even spicier! Yikes! The jah-la-peh-no one was spicy!!!<br/><br/>M- The salsa had a decent taste but was super mild. The chips were ok; they likely are store bought snd if not they are some of the best handmade chips to replicate store bought chips. I kindly asked for something spicier and the stars of the outing came on board. The habanero salsa had a wonderfully complex sweetness (minced carrots perhaps) with the heat. The jalapeño salsa was fiery but also packed a burst of sabor. The last one I believe was a mole base, definitely tamer but still a standout.<br/><br/>I came for the Puffy Taco plate but it's only available on Taco Tuesday. I went ahead and settled on the Dos Tacos plate, an adobo chicken taco and a skirt steak taco (no carnitas available). I also ordered the tacos one flour tortilla and one corn. <br/><br/>W- I ordered the two taco lunch plate and got a smokin' skirt steak taco and a chicken Adobe pdf taco (haha, that's a computer joke man). Awesome tacos, I love the onion stuff, it was crunchy like a Taco Bell crunch taco. The rice and beans were cool but the rice had some weird carrots and corn mix, never seen that before when I was in Mexico, although I mostly drank while I was in Cancun.<br/><br/>My aunt Kate who works for a big time newspaper from Califor-nie-aye said these tacos are like exact copies of the tacos in Mexico City where she lives. I wasn't about to mess these bad boys up using those ridiculously hot salsas; 3 alarm one way and out the other, you know what I mean? Hahaha<br/><br/>M- The skirt steak was well executed; it can be tough to cook but here it's flavorful; the flour tortilla fell flat and just seemed It was not enthusiastic to be here. I did like the pickled onion which added some zest but overall the tacos were lackluster.<br/><br/>The chicken adobo was juicy to the lament of the corn tortilla which started breaking apart as soon as I clenched the taco. This blessed matrimony filed for divorce as soon as I picked her up. Same toppings but this corn tortilla was just as unwilling to play along. I suspect this isn't nixtamalized and from a store nearby.<br/><br/>I always mention that tacos should be priced higher, and here they certainly do for 12 for two with rice and beans. To change folks minds though you have to deliver. Here, it's a big miss.<br/><br/>The rice and beans were standard fair, nothing to rave about but also not bad. <br/><br/>W- Everything is handmade which means it's authentic and just like my friend Armando's mom makes it. Sweet! I didn't get to try their drinks but they say they have a kickin marg man, I gotta try it! I'm definitely coming back with the homies Zach &amp; Clay, might even bring Karen, who knows. Overall an excellent experience. 4 stars man!<br/><br/>M- This is the issue when you read about things being home made... when you read about things being authentic... when you read about things borne from inspiration. What does that even mean? And more importantly, where does it come from and who is it for?<br/><br/>On their website it says: ""Join us and embrace the energy and spirit of ""Let's Go!"" or ¡Vamonos!""<br/><br/>Keeping it real and authentic would have been just naming the place for its English translation. <br/><br/>W- Hells yea, letsssss goooooooo! <br/><br/>M- Nombre, aquí no más no, vámonos ala chingada."
5,"I feel like a lot of places don't do free chips and salsa at the beginning of your meal anymore, and that's always been my favorite part of going to a Mexican restaurant. So I was thrilled to get the tasty chips and salsa at the beginning of my meal here and the really tasty and unique prickly pear marg that I thoroughly enjoyed. I honestly don't remember the food all that much, but I remember a really relaxed vibe in the outside area with fans above for when it gets hot, and also a nice indoor area as well. Service was fast and friendly as well. I remember the food being pretty good, and my husband enjoyed it as well. There are vegetarian options which sometimes gets hard at Mexican places, but lots of fresh veggies along with well seasoned beans and rice. Yum! Will be back for happy hour."
6,"Good, cheap food. Service was good Carla was very nice and answered our questions. I was not in love with the adobo chicken taco, but I really liked the cheese enchilada with the salsa rojas. The queso was good, though my brother did not enjoy the larger slices of veg in it. I didn't mind it at all. Would go back."
7,"Nothing really worked out for us, starting with the ceviche, which no one ate -- looked and tasted like it was sitting around too long and not at all fresh. The beef tacos were bland, the fish tacos were so spicy that they were inedible, doused in hot sauce. My grilled veggies were pretty good, though I would have liked larger pieces. They were finely chopped and a bit overcooked, but tasty. I also loved the house salsa! Loud music made it hard to talk."
8,"Long time customer, first time yelping it. Happy hour from 4-6 is great for appetizers. I always get Pablo's platter for the most food. My only complaint is my shrimp taco only had 3 small shrimps in it. The ceviche and guac are delicious"
9,"Delicious very authentic food, clean. service was awesome, hard working people. When in Austin will def be back"
10,"We had a LocalBuzz foodie meet up here the other day and now Vamonos is where I'm coming for my next happy hour. <br/><br/>The inside is so colorful, filled with fairy lights, plants and candles to set the mood. I actually thoroughly enjoyed the authentic Mexican music that they played, it definitely elevated the experience. <br/><br/>I went for a classic Margarita on the rocks and I will honestly say that it was one of the best I've had in a while! I loved the chips and salsa, because you could tell that it was made in house and with great care. The chicken quesadilla was pretty good, super cheesy and fulfilling. <br/><br/>I can't wait to come back and try everything else!"
